kernel,version,mode,dtype,size_of_dtype,n,block_size,grid_size,interm_stage_elems,repeat,avg_ms,min_ms,max_ms,std_ms,bytes,bw_GB_s,gflops,result,ref,abs_error,rel_error,correct
reduction,cpu_serial,cpu,fp32,4,262144,0,0,0,10,0.439654,0.437995,0.447329,0.003,1048576,2.385,0.596,262144.000,262144.000,0.000,0.000,true
reduction,cpu_omp,cpu,fp32,4,262144,0,0,0,10,3.367087,0.026631,33.427703,10.020,1048576,0.311,0.078,262144.000,262144.000,0.000,0.000,true
reduction,all_gpu_version,h2d,fp32,4,262144,0,0,0,10,0.055472,0.049521,0.105695,0.017,1048576,18.903,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,262144,64,4096,1,3,0.769312,0.639232,1.027328,0.182,1048580,1.363,0.341,262144.000,262144.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,262144,64,4096,1,10,0.007754,0.007499,0.008733,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,262144,64,4096,4096,100,0.009886,0.009472,0.022368,0.001,1064960,107.720,26.516,262144.000,262144.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,64,4096,4096,10,0.008149,0.007623,0.008830,0.000,16384,2.011,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,64,4096,4096,50,0.006868,0.006866,0.006899,0.000,16388,2.386,0.596,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,64,432,432,100,0.008630,0.008224,0.021152,0.001,1050304,121.703,30.376,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,64,432,432,10,0.007724,0.007478,0.007895,0.000,1728,0.224,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,64,432,432,50,0.000747,0.000745,0.000779,0.000,1732,2.318,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,64,432,432,100,0.011842,0.011552,0.021216,0.001,1050304,88.694,22.137,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,262144,64,432,1,10,0.007368,0.006904,0.007691,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,262144,64,432,432,100,0.014536,0.014016,0.017600,0.000,1050304,72.254,18.034,262144.000,262144.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,262144,64,432,1,10,0.007445,0.007117,0.007715,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,262144,128,2048,1,3,0.639328,0.638240,0.641408,0.001,1048580,1.640,0.410,262144.000,262144.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,262144,128,2048,1,10,0.007788,0.007604,0.008107,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,262144,128,2048,2048,100,0.008331,0.008064,0.009216,0.000,1056768,126.845,31.465,262144.000,262144.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,128,2048,2048,10,0.007688,0.007212,0.008332,0.000,8192,1.066,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,128,2048,2048,50,0.003447,0.003445,0.003477,0.000,8196,2.378,0.594,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,128,432,432,100,0.007617,0.007360,0.009312,0.000,1050304,137.884,34.414,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,128,432,432,10,0.007488,0.006994,0.007943,0.000,1728,0.231,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,128,432,432,50,0.000747,0.000745,0.000779,0.000,1732,2.318,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,128,432,432,100,0.010862,0.010656,0.012576,0.000,1050304,96.692,24.133,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,d2h,fp32,4,262144,128,432,1,10,0.007388,0.006901,0.007864,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_multi_pass,cuda_kernel,fp32,4,262144,128,432,432,100,0.013620,0.013216,0.015328,0.000,1050304,77.114,19.247,262144.000,262144.000,0.000,0.000,true
reduction,cuda_multi_pass,d2h,fp32,4,262144,128,432,1,10,0.007392,0.006946,0.007782,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_atomic_add,cuda_kernel,fp32,4,262144,256,1024,1,3,0.639509,0.638368,0.641760,0.002,1048580,1.640,0.410,262144.000,262144.000,0.000,0.000,true
reduction,cuda_atomic_add,d2h,fp32,4,262144,256,1024,1,10,0.007619,0.007459,0.007942,0.000,4,0.001,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cuda_kernel,fp32,4,262144,256,1024,1024,100,0.008325,0.008096,0.009696,0.000,1052672,126.440,31.487,262144.000,262144.000,0.000,0.000,true
reduction,cuda_block_shared_mem,d2h,fp32,4,262144,256,1024,1024,10,0.007573,0.007092,0.007986,0.000,4096,0.541,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_block_shared_mem,cpu_finalize,fp32,4,262144,256,1024,1024,50,0.001736,0.001734,0.001774,0.000,4100,2.361,0.589,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cuda_kernel,fp32,4,262144,256,432,432,100,0.007373,0.007136,0.009088,0.000,1050304,142.444,35.552,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,d2h,fp32,4,262144,256,432,432,10,0.007472,0.007139,0.007671,0.000,1728,0.231,0.000,0.000,0.000,0.000,0.000,true
reduction,cuda_grid_stride_block_shared,cpu_finalize,fp32,4,262144,256,432,432,50,0.000747,0.000745,0.000777,0.000,1732,2.319,0.577,262144.000,262144.000,0.000,0.000,true
reduction,cuda_grid_stride_two_pass,cuda_kernel,fp32,4,262144,256,432,432,100,0.010683,0.010400,0.015808,0.001,1050304,98.320,24.539,262144.000,262144.000,0.000,0.000,true
