kernel,version,mode,dtype,n,block_size,repeat,avg_ms,min_ms,max_ms,std_ms,bytes,bw_GB_s,gflops,correct
vector_add,cpu_serial,cpu,fp32,262144,0,10,0.120349,0.111939,0.171887,0.017860,3145728,26.138,8.713,true
vector_add,pageable_memcpy,h2d,fp32,262144,0,10,0.103863,0.098846,0.146455,0.014198,2097152,20.191,10.096,true
vector_add,cuda_naive,cuda_kernel,fp32,262144,64,100,0.012991,0.008736,0.374048,0.036329,3145728,242.152,80.717,true
vector_add,cuda_naive,cuda_kernel,fp32,262144,128,100,0.007549,0.007200,0.012960,0.000597,3145728,416.701,138.900,true
vector_add,cuda_naive,cuda_kernel,fp32,262144,256,100,0.006795,0.006528,0.009216,0.000347,3145728,462.934,154.311,true
vector_add,cuda_naive,cuda_kernel,fp32,262144,512,100,0.006793,0.006400,0.012512,0.000622,3145728,463.086,154.362,true
vector_add,cuda_naive,cuda_kernel,fp32,262144,1024,100,0.006939,0.006560,0.009280,0.000370,3145728,453.327,151.109,true
vector_add,pageable_memcpy,d2h,fp32,262144,0,10,0.047633,0.047002,0.051882,0.001425,1048576,22.014,22.014,true
vector_add,cpu_serial,cpu,fp32,524288,0,10,0.237057,0.226591,0.323813,0.028964,6291456,26.540,8.847,true
vector_add,pageable_memcpy,h2d,fp32,524288,0,10,0.183141,0.181710,0.192234,0.003042,4194304,22.902,11.451,true
vector_add,cuda_naive,cuda_kernel,fp32,524288,64,100,0.012401,0.012032,0.022176,0.001002,6291456,507.323,169.108,true
vector_add,cuda_naive,cuda_kernel,fp32,524288,128,100,0.009135,0.008800,0.012288,0.000384,6291456,688.741,229.580,true
vector_add,cuda_naive,cuda_kernel,fp32,524288,256,100,0.007860,0.007360,0.018400,0.001110,6291456,800.489,266.830,true
vector_add,cuda_naive,cuda_kernel,fp32,524288,512,100,0.007673,0.007200,0.010464,0.000378,6291456,819.986,273.329,true
vector_add,cuda_naive,cuda_kernel,fp32,524288,1024,100,0.008075,0.007424,0.030880,0.002327,6291456,779.170,259.723,true
vector_add,pageable_memcpy,d2h,fp32,524288,0,10,0.087501,0.086885,0.091545,0.001352,2097152,23.967,23.967,true
vector_add,cpu_serial,cpu,fp32,1048576,0,10,0.486239,0.451751,0.693492,0.073920,12582912,25.878,8.626,true
vector_add,pageable_memcpy,h2d,fp32,1048576,0,10,0.348896,0.347413,0.360007,0.003709,8388608,24.043,12.022,true
vector_add,cuda_naive,cuda_kernel,fp32,1048576,64,100,0.018932,0.018528,0.030688,0.001217,12582912,664.643,221.548,true
vector_add,cuda_naive,cuda_kernel,fp32,1048576,128,100,0.012383,0.012096,0.017280,0.000538,12582912,1016.115,338.705,true
vector_add,cuda_naive,cuda_kernel,fp32,1048576,256,100,0.009340,0.009056,0.012832,0.000428,12582912,1347.230,449.077,true
vector_add,cuda_naive,cuda_kernel,fp32,1048576,512,100,0.009247,0.008768,0.011808,0.000364,12582912,1360.750,453.583,true
vector_add,cuda_naive,cuda_kernel,fp32,1048576,1024,100,0.009387,0.009088,0.012288,0.000358,12582912,1340.479,446.826,true
vector_add,pageable_memcpy,d2h,fp32,1048576,0,10,0.167075,0.166421,0.171838,0.001591,4194304,25.104,25.104,true
vector_add,cpu_serial,cpu,fp32,2097152,0,10,1.026805,0.920458,1.512606,0.184906,25165824,24.509,8.170,true
vector_add,pageable_memcpy,h2d,fp32,2097152,0,10,0.680106,0.677492,0.696644,0.005527,16777216,24.669,12.334,true
vector_add,cuda_naive,cuda_kernel,fp32,2097152,64,100,0.032442,0.031904,0.051264,0.001908,25165824,775.719,258.573,true
vector_add,cuda_naive,cuda_kernel,fp32,2097152,128,100,0.019095,0.018656,0.025728,0.000856,25165824,1317.925,439.308,true
vector_add,cuda_naive,cuda_kernel,fp32,2097152,256,100,0.013913,0.013440,0.018912,0.000563,25165824,1808.846,602.949,true
vector_add,cuda_naive,cuda_kernel,fp32,2097152,512,100,0.013583,0.013120,0.017536,0.000509,25165824,1852.739,617.580,true
vector_add,cuda_naive,cuda_kernel,fp32,2097152,1024,100,0.014195,0.013664,0.018880,0.000593,25165824,1772.880,590.960,true
vector_add,pageable_memcpy,d2h,fp32,2097152,0,10,0.326592,0.325485,0.332203,0.001886,8388608,25.685,25.685,true
vector_add,cpu_serial,cpu,fp32,4194304,0,10,2.762410,2.509501,3.282525,0.264994,50331648,18.220,6.073,true
vector_add,pageable_memcpy,h2d,fp32,4194304,0,10,1.341196,1.338427,1.361078,0.006634,33554432,25.018,12.509,true
vector_add,cuda_naive,cuda_kernel,fp32,4194304,64,100,0.059051,0.058528,0.077920,0.001907,50331648,852.339,284.113,true
vector_add,cuda_naive,cuda_kernel,fp32,4194304,128,100,0.043550,0.041888,0.050208,0.000935,50331648,1155.719,385.240,true
vector_add,cuda_naive,cuda_kernel,fp32,4194304,256,100,0.043634,0.042016,0.048000,0.000734,50331648,1153.490,384.497,true
vector_add,cuda_naive,cuda_kernel,fp32,4194304,512,100,0.043592,0.042048,0.048064,0.000783,50331648,1154.616,384.872,true
vector_add,cuda_naive,cuda_kernel,fp32,4194304,1024,100,0.043605,0.042176,0.046912,0.000815,50331648,1154.269,384.756,true
vector_add,pageable_memcpy,d2h,fp32,4194304,0,10,0.652637,0.651861,0.657311,0.001564,16777216,25.707,25.707,true
vector_add,cpu_serial,cpu,fp32,8388608,0,10,6.628391,6.465311,6.952285,0.149488,100663296,15.187,5.062,true
vector_add,pageable_memcpy,h2d,fp32,8388608,0,10,2.665178,2.662251,2.685199,0.006684,67108864,25.180,12.590,true
vector_add,cuda_naive,cuda_kernel,fp32,8388608,64,100,0.111675,0.111168,0.130112,0.001861,100663296,901.399,300.466,true
vector_add,cuda_naive,cuda_kernel,fp32,8388608,128,100,0.080297,0.077696,0.087680,0.001115,100663296,1253.638,417.879,true
vector_add,cuda_naive,cuda_kernel,fp32,8388608,256,100,0.080566,0.078560,0.116352,0.003637,100663296,1249.455,416.485,true
vector_add,cuda_naive,cuda_kernel,fp32,8388608,512,100,0.080138,0.077728,0.085728,0.000806,100663296,1256.121,418.707,true
vector_add,cuda_naive,cuda_kernel,fp32,8388608,1024,100,0.080436,0.078112,0.087872,0.001038,100663296,1251.473,417.158,true
vector_add,pageable_memcpy,d2h,fp32,8388608,0,10,1.293215,1.291990,1.299719,0.002185,33554432,25.947,25.947,true
vector_add,cpu_serial,cpu,fp32,16777216,0,10,13.812658,13.636042,14.122886,0.146600,201326592,14.576,4.859,true
vector_add,pageable_memcpy,h2d,fp32,16777216,0,10,5.312965,5.309308,5.332157,0.006435,134217728,25.262,12.631,true
vector_add,cuda_naive,cuda_kernel,fp32,16777216,64,100,0.216993,0.216384,0.234944,0.001885,201326592,927.804,309.268,true
vector_add,cuda_naive,cuda_kernel,fp32,16777216,128,100,0.153390,0.151296,0.161120,0.001027,201326592,1312.511,437.504,true
vector_add,cuda_naive,cuda_kernel,fp32,16777216,256,100,0.153135,0.151712,0.160288,0.000936,201326592,1314.702,438.234,true
vector_add,cuda_naive,cuda_kernel,fp32,16777216,512,100,0.153306,0.151744,0.159712,0.000915,201326592,1313.232,437.744,true
vector_add,cuda_naive,cuda_kernel,fp32,16777216,1024,100,0.154050,0.151360,0.159744,0.000942,201326592,1306.895,435.632,true
vector_add,pageable_memcpy,d2h,fp32,16777216,0,10,2.575289,2.573758,2.582826,0.002698,67108864,26.059,26.059,true
vector_add,cpu_serial,cpu,fp32,33554432,0,10,27.229014,27.158386,27.418173,0.071636,402653184,14.788,4.929,true
vector_add,pageable_memcpy,h2d,fp32,33554432,0,10,10.610039,10.605679,10.627967,0.007004,268435456,25.300,12.650,true
vector_add,cuda_naive,cuda_kernel,fp32,33554432,64,100,0.427496,0.426880,0.445248,0.001793,402653184,941.888,313.963,true
vector_add,cuda_naive,cuda_kernel,fp32,33554432,128,100,0.300431,0.298944,0.307744,0.001003,402653184,1340.250,446.750,true
vector_add,cuda_naive,cuda_kernel,fp32,33554432,256,100,0.299589,0.297952,0.306400,0.000967,402653184,1344.018,448.006,true
vector_add,cuda_naive,cuda_kernel,fp32,33554432,512,100,0.300090,0.298144,0.305984,0.000961,402653184,1341.774,447.258,true
vector_add,cuda_naive,cuda_kernel,fp32,33554432,1024,100,0.302037,0.299200,0.335776,0.003528,402653184,1333.125,444.375,true
vector_add,pageable_memcpy,d2h,fp32,33554432,0,10,5.125783,5.124279,5.134360,0.002876,134217728,26.185,26.185,true
vector_add,cpu_serial,cpu,fp32,67108864,0,10,54.485888,54.412060,54.596629,0.054360,805306368,14.780,4.927,true
vector_add,pageable_memcpy,h2d,fp32,67108864,0,10,21.206623,21.202214,21.230807,0.008342,536870912,25.316,12.658,true
vector_add,cuda_naive,cuda_kernel,fp32,67108864,64,100,0.848724,0.848096,0.866368,0.002105,805306368,948.843,316.281,true
